english,khasi
"synnia,",Shiteng
synnia,shiteng
dummoh.,teng
"lhep,  V.",Shit
"lhop, ",Shit
shijot.,Imit shitom
", ka,n.i large flat fish.",tShitor kha
"rhem,",Shit
"tyllup,",Shi
tyllup ka pyrthei ki tip, baroh shi
"shlein, nep, ad. pointed, as, ki rah",Shleifi
silem. forward impudent.,nep shleiri
"house, an iionworkshop.",Shlem ka n a smelting
", ad, very long and pointed,",Shier nep
", ad. very pointed, taperingly.",Shlir nep
DOR,SHONG
", ad. up to the brim full,",Shmoiii  dap
ka thaw.,ImU ka shnong
sah., Imit shong
"basa,",Shong
basa,shong
shongiclid.,Imit shongkai
"kha,",Shong
shongman.,Tmit shongkha
shongkhrei.,ksiiid
shongsang.,Imit sbongkur
shongkupai.,Imit shongkurim
"mungor,",Shongkyllaifi
"legged,",sit cross
"dor,",Shong
dorshongmur,shong
"dur, a, becoming, proper.",hong
LYNGNGEIT,SHONG
TYNDEP,SHOH
"lyngngeit,",Shong
"mangkariang, a. bad tempered, envious.",Shong
"nia, a, reasonable, right.",Shong
"niangraitliang,",Shong
"fiiangraithoh, a. having an",Shong
"per, a. to become lightminded, to be flippant.",Shong
"shongshang,",Shongprah
"raithoh, a. stingy, niggard.",Shong
"sngi, v. to be off ones work, to rest.",Shong
"shiliangkhmat, a. having second sight.",Shong
"thap,",Shong
shongbiang.,Imit shongtbap
dat.  a., Imit shoh
"dap, v. to castrate a bull.",Shoh
"doh, V. to kill an animal for food. Bnlt. shohdohshohkah.",Shoh
"dohkha, v. to poison fish.",Shoh
doh khashohdohthli.,Imii shoh
"niangkur,",Shoh
"noh, v. to commit murder for the propitiation of",Shoh
nohshohtuh.,Imit shoh
"samthiah, v. to drowse.",Shoh
"thah, ka, n. a robinred breast",Shoh
"thdw, V. to work in iron, to work as a blacksmith.",Shoh
", ad. in order,",ieng
"iak, j",Shi
fruit,or of such like
root., an arum
"margin,",carved
ka shrub.,shrong
pen.,V to hate to be inimical with Imit shiin
"kot,",Shun
"kpu, ka, n. slaked lime.",Shun
"dewiong, ka, n. lime burnt with coal.",Shun
"dieng, ka, n. lime burnt with wood.",Shun
"maw, ka, n. unslaked lime, quick lime.",Shun
"thlongmluhthlongsying,",Shiin
shuwai,a base thing Imit shuti
ka,ka shwdr
"iar, ka, n. a jet of water, a stream of water, a fountain.",Shyng
"id, ka, n. a manger.",Shyng
ka tlieng.,Imit ka shylliah
"nud, ka, n. the pit of the stomach.",Shyllip
", ad, poutingly, sulkily.",leh
"kjat, ka, n, the shins.",Shynrang
shynriah,Imit shynraifi
in.,Imit shynraintyng
shell,a skull an egg
"riap,",Shynroin
shynriap . ,shynroin
KHARJ,SI
kite,paper
"tyrpeng, ka, n, the shoulderblade.",Siang
", ad.",dap
iong u leit kyllain syian ha,sein
"flower a work like a plantainflower,",Siarkait ka n a plantain
"longkha, u, n. any",Siar
"shrong, ka,n. a kind of earring worn by males,",Siar
"sla, ka, n. gold leaf.",siar
"tylli, ka, n.",siar
"sia, ad. in anger and in a threatening attitude.",Sia
"shisia, ad. unceasingly, constantly, as,  u bam",Sia
shisia ia,sia
"jingmut,",Siat
"shonshiw, v. to tread on the corns of another.",Siat
"thong,",Siat
"mawiang,",Sidw
"siaw, ad. in a whisper.",Siaw
siawsoitsoit.,Imit siaw
"kliar, ka, n. a small cow imported",si
KHYNNA,SI
MASTIEH,SING
"khynna, ka, n. a hill cow, a cow bred in the Khasi",si
u skong.,Imit u siej
u kmie.,u Siem
"iong, u, n. a term applied to the Siem of Nongspung.",Siem
"lieh, u, n. a term applied to the Siem of Nongkhlaw.",Siem
"sad, ka, n. the eldest or the youngest female member",Siem
"Shillong,",Siem
tda.,Imii siew
"baibat,",Biew
siew,siewspah
"tun, n. a greatgrandchild.", siew
u siewjiap.,Imit u siewtun
"dumdum, singynghai, sing march,  the",sing
beatings in a Khasi female dance.,of drum
"mana, ka, n. boundary,",fSing
"mastieh,",sing
"shadwait,  the different ways",sing
NAKRA,SING
"nakra, ka n. a big drum.",sing
"nalai, ka, n. a long conical drum like a tomtom.",sing
"padiah,",sing
"sez,",as kren
"si, etc.",sihi sngew
"lud, w. a young cow or bull.",si
"lyngraw, n. a youngbull.",si
ka doh.,Sim n a bird Imit ka sim
"mdd, ka, n. a bedbug.",si
"met,",si
mite gamasidae vermin which infests,ka n an insect
"krai,",Sim
"kyllaidohdit,",Sim
tail., w a wag
"ldidieng,",Sim
"puhdieng, n. a creeper bird.",Sim
"puhwieh, ",Sim
ktieh,Sim
"pyllieng, , w. the rainbow.",Sim
"sohphoh, w, w. a hoopoe, a fop.",Sim
"tung, m, . a blackbird.",Sim
"tyngwieng, u, n. waterouzel  a man who makes much show",Bim
rngop.,Sin V to nickname Imit sin
"sipsapsap, ad, in an underhand way, not openlyi",Sip
", ad. evening, nighttime.",Sit used with la
"siw, khriat adi very cold.",Siw
"siwsiawsiaw, ad. Whisperingly.",Siw
sleh.,Sleh V to anoint to wash the head Imit sum
tree whose leaves are generally used in,Slew ka V kind of palm
nmhrellas.,making leaf
up in which lunatics are confined in the Khasi,Slung ka n a lock
spot.,V to swear to take an oath Imit smai
", d to the biim,",Smiar dap
", ac. to the",Smoin dap
"smom,",Smom
"smop,",Smop
smom.,kaei kata kaba jem smom
AMIRPHOR,SOH
ka ksuit.,Snam ka n blood Imit ka sndm
krdw.,Sneng v to reprove to correct to advise Imit sneng
spirit who,evil
"kr, ka, n. a cocoanut.",Snep
"doh, ka, n. complexion,",Snieh
ka snap.,limit ka snier
smeh.,Sniew a bad evil wicked Imii sniew
"bok, a. unlucky.",Sniew
"jew,",Sniew
"riangksiar,  u,",Sni
"riangksiar, ",Soni
"thapbawa,",Smir
"u pdi, u sohu syntiew.",soh
"amirphor, w, n, a fabulous fairy fruit",goh
JEW,SOH
"baingon, , n, brinjal.",Soh
"ben, m, n, a very palatable fruit eaten after being cooked, and",Soh
fruitlstone.,resembling in shape the core of a mangoe
"brdi, u, n. a small sour fruit with a hard seed.",Soh
"brapphareng, , n. passion flower, passiflora.",Soh
"broi, u, n.",Soh
plum.,sljx Indian jujube a Chinese date
"byrthit, u, n. a shrub, the flower or fruit of which sticks to the",Soh
"ryndang, u, n. the throat.",Sohkhaw
"khdwiong, u, n. blackberry.",Soh
"sohkhrm, a. rugged, rough.",Sohkhruh
"sohkhret, a. not smooth, rough.",Sohkhrut
"kynphor, u, n. a papaya.",Soh
"kyrsiew, u n, a tuber of a certain creeper about the size",Soh
"kwit, u,",Soh
"kyrbam, u, n. chalita.",Soh
"ngang,",Soh
"iong,",Soh
"jew, w, n. sour fruit, lime. Jmi. sohjewsohsat.",Soh
"jyllih, , n. a lime fruit of very good",Soh
"jymbuin, u, n, teat, nipple.",Soh
"lang,",Soh
"lah, u, n. a kind of black potato, potato.",Soh
"lapr, , n. the fruit of a small palm.",Soh
"lew, M, w. a fruit used in poisoning fish.",Soh
"liang, u, n. a wild poisonous fruit about the",Soh
"liia, w, . a small sour fruit with a rough outside, the bark of",Soh
"lyngdkhur, , n. a mulberry.",Soh
"lyngkait, u, n. a plaintainlike fruit of a certain wild creeper.",Soh
"like fruits growing in bunches,",Sohma u n small grain
"mad, w, n. a kind of citron, the leaves and rind of which have",Sob
"manir, u, n. litchee.",Soh
"myngngr, u, n, a shaddock or pomel.",Soh
"mylleng,",Soh
"myndong, w, n. a common lime.",Soh
"myntait, u, n. a wild fruit as big as a bread fruit.",Soh
"nepbah, u, n. the fruit of a certain shrub used as a",Soh
SHANG,SOH
"ot,",Soh
"padoi,",Soh
"pai,",Soh
"pailen, , n. waterfungus.",Soh
"pairah,",Soh
"pdok,",Soh
"pdung,",Soh
"pen, , n. a wild earthnut.",Soh
"pet, u, n. the navel  the ends of a twisted string.",Soh
"phan,",Soh
fruit.,ii n a jack
"Nongkhhiw,",Sohphoh
"pieng, u, n. a mango.",Soh
"pong, u, n. species of fig.",Soh
"prew, u, n. a species of fruit of a creeper, the cultivated variety",Soh
"priam, u, n. a guava.",Soh
"pyrshit, u, n. a small black fruit, used by some as a",Soh
"bait,",fish
"pyrshong, u, n.",Soh
"ramdieng,",Soh
"ryngkham, u, n. a very small eatable fruit of a shrub.",Soh
"shang,",Soh
SHANGLEW,SOH
"slianglew,",Soli
sohthaw.,stranger an alien Imit soh shnong
u sohtaug.,Sohsiem u n an alien a foreigner Imit u sohsyiem
"sning,",Soh
"stap,",Soh
"trun, w, n. a pineapple.",oh
"tyngkoh, v, to limp.",Soh
"tyntoi, w, n, a tamarind.",Soh
" ad. straight on, without",ISin laid
", ad. away, as,  ynda kumta u sa leit noh",leit
u bhut. same as suidtdn.,Imii u soitdn
"bajar, v. to thatch a house by putting another layer of grasS",Sop
grass on the roof,over the old one  a form of putting thatching
"jat, Mi n. a legging.",Sop
"sarang,",Sop
"sieh,",Sop
sopjat.,Sopti ka n a coat Imit sopti
ka jhew.,Imit ka spah
"san, a.",Spiid
"nang,w, n, a learned",Imit stad
u jhad.,Imit u stad
", V. to wither.",lap
"phyrngap, ad. early in the morning.",Step
ka wait.,Stieh ka n a shield ImU ka stieh
SIENG,SUH
"ni, ad. fastidiously clean.",Suba
saifi.,Imit suk
"anna piece, a sH onefourth of a rupee.",Suka ka n a four
suloi.,ImLt suki
thain, ImiL suh
thar to deal in an underhand way.,Imit suh
stitching.,n a back
"buit,",Suh
"khun, v. to be in labour.",Siih
"khylliap, kaha, n. hemming.",Suh
"kyndang,",Suh
"dong, v. to stretch far inland or into anothers kingdom.",Siih
"jut, V. to have false pains.",Siih
"jyllai,",Suh
"jyndong,",Suh
"mariap,",Suh
"ot,",Siih
"pynpur, kaba, n. a runningstitch.",Siih
"sat,",Suh
y. ka calamity.,to suffer troublej
"sieng, a. very pungent smell.",Suh
SYNRI,SIH
"synri,",Siih
"tak, kaha, n. a long temporary",Suh
"thiecl,",Suh
"tok,",Sdh
"tyngka,",Siih
"spirit, a devil.",n an eyil
"khai,",Suid
kyntamaramj,suid
"ngon,",siiid
"briew,  ing",suid
"lamiap, u, n. the executor of Gods decree to carry away the",suid
"nia,",suid
"niew, v. to care used negatively with ym.",Suid
"tynjang,",suid
hoitkawhoit,known by his call of  kaw
"um, ih n, the evil spirit who attacks women and",suid
shor.,Imit suit
"nam, ha, n. matter mixed with blood.",suit
ka man.,Imit ka suloi
"shamok, ka,",Suloi
sleh.,Imit sum
sukhdr.,Sumar v to take care of to be careful Imit sumar
", ad. bulky, as, u briew uba beb suphu.",Suphu heh
"ang, v. to cover the mouth of an overfull sack with leaves, and.",Sur
"dam,",Sur
"eitmat, v. to have the eye glued with eyepus...",Sur
"eitmut, v. to blow the nose.",Sur
"thapbawa, r. to be covered with spiders web.",Sur
out.,ties to be on the look
examine.,Swar V to cross
ka sbur.,sboh
BAMON,SYNGKAI
"bamon, u, n. a god who causes people to",Syngkai
"kurim, ka, n. motherinlaw.",Syngken
"iang, ad, bright red.",Syng
"it, a. tight, choking.",Syng
"itldm, ka, n. the place or saddle where two hills meet,",Syng
"kpieng, u, n, a single bead.",Bymboh
rash.,f n nettle
nosed.,Syndem a flat
"myrsiang,",Syndot
", a. haying the peculiar",Iay
ka synrah.,ImiL ka synrum
khadar, Imit synshdr
minded fellow.,Syntan n a hardy or strong
u sktid.,Imit u syntiew
"khmut,",Syntiew
ka,syrdep
ka syrnget.,yimit ka syrngiew
SAW,TANG
piece of an animal  a chine,Tabla ka n the shoulder
"tyrpeng, ka n. an armlet.",TM
"ynda, ad. until,",Tad
baskets, to make a finish of tbe plaiting of wicker
"duma, ha, n. a hookah, a hubblebubble.",tang
"ulymban, w, n. a",Tangon
"sdw, M, n. the gullet.",Taug
"um, ka, n. a bamboo pipe or chimga for carrying water.",tang
"hoh, j ia ka jong ki briew.",Tob
"tai, ad. very",Tai
"tMn, . loudly",Tain
tamy,tain
"tdin, ad. elastic.",Tdin
"kur, v. to be excommunicated",Tait
kmie.,kurtait
"piece, same as tahla,",Talba ka n the shoulder
tamhoi., disobedient Imit tamsa
"tamtain, ad. unevenly.",Tamtuin
"tani,",Tana
tani mynta shi snem.,tana
"kharlyngngoh, v. to play blind mans buff.",Tap
"kpoh, V. to perform a poojah ceremony for the",Tap
"lawbei, v. to worship",Tap
"lubri,",Tap
"mohkhlieh, ka, n. a piece of cloth used by women",Tap
"rngiew, v. to make sacrifices for ones own good luck.",Tap
taprwiang.,tdprngiew
"Thawlang, v. to worship",Tap
TDAW,TDAW
ont,worn
"takut, see also thungtasam.",tasam
"tkai, ad. fat and plump, as,",Tkai
tkai,tkai
"tkur,  tkurtkur.",Tkur
stitch., a running
"tdaw, ad. hard and tough, as,  ka thalap ka long",Tdaw
"tdot, ad. at all,",Tdit
tdotJ,as  wat leit ai ei ei ia u tdit
"bohkhaila, ka, n. the fagend of a",Tdong
"sier, u, n. a meadow haiiey.",Tdong
"teng, ad, occasionally.",Teng
khum.it,Imit teh
"kirmit, v. to be under a bond or agreement.",Teh
"ktien, v. to be engaged in a marriage",Teh
teh thylliej.,ktien
"musorkar,",Teh
"iong, v. to be engaged in a marriage contract",Tehsai
"pop, V. to charge with",Tei
"thap, , n. nettle rash",Teln
"tej, ad. adhesive, like gum,",Tej
tei kum ia u mynpang.,tj
musical,stringed
put.,Imit tem
"ten, ad, elastic, producing",Ten
ten,jwat ten
"eitmiaw, v. to affect to overlook a thing.",Tep
"lter, ad. one whole length,",Ter
lter.,jrong ter
"shiter, ad, in a series of objects",Ter
"ter, ad. consecutively.",Ter
"tew, eh, ad. very hard,",Tew
tew.,eh tew
ka khdn.,Imit ka tnga
hay n. a dirt.,Tngit a dirty 
ka tngar.,Imit ka tngit
bM,Imit thdd
"IM, V. to become shameless",Thdd
"rong, v. to use low or obscene words  to tell tales.",Thdd
"khr, v. to be cremated by the State or by the public.",Thang
"krei, v. to burn the body without gathering",Thang
"iong, v, to become",Thang
"jngap, v. to have the discolouring of the face.",Thang
"rang, a. to feel very thirsty.",Thang
"ram,",Thang
"rong,",Thang
"saw, v, to heat a thing till it is redhot.",Thang
"frost,",Thah w n ice hoar
MRAd,THAP
"tliMt, ad, without intermission, incessantly,",TMit
thdit ha doh ia u.,rup thdit
"thaleifi,",Tliala
thamuleiu.,mit thamula
thakhr. ,Thana n person having some relationship limit thana
"bangem, , n. a ground spider.",Thap
"baiong, v. to become dizzy.",Thap
"balieh, ,",Thap
"balong, ka n. a large black butterfly.",Thap
"bawa, ka, n. a spider.",Thap
"basim, u, n. a mole.",Thap
"biej, a. having some disordered state of mind",Thap
"bulong, ka, n.",Thap
"kr, ka, n. the back part of the ear.",Thp
"uddp, u, n. a common ignorant fellow.",Tliap
"ngap, ad. lonely,",Thkp
ngdp ha,as u shong marwei thap
"mrad, v. to swoon, to be under the influence of evil spirits",Thap
NIANG,THAP
SHIENG,THEP
"niang, ka n. wing",Thap
"shrieli,",Thap
"thare,",Tharu
thare,tharu
"tbat, kyiub,",That
"kasbari,shiveriugly.",leit mill ling
", kren, cul in a queer or",leh
oftheway,out
ka lawbei.,self mit u Tbawlanj
"thaw,",Thdw
", ad. ragged or torn, in tatters,",jot
thdio ,u ki la jot thdw
seij,Theh
"khaiapsaw, a. a woman who has once",thei
"iaid, ka, n. a woman of bad character.",thei
"iaw, ka, n. a woman of advanced age  an elderly woman,",thei
"sotti, ka, n. a virgin.",thei
"mawbah,",Thep
"shyieng,",IThep
"ther,",Thfer
", ad. with light",laid
"thet, ad. convulsively",Thet
thngaw.,mtt thngad
jingit.,Imit thngan
"bluin, a. saltish sweet taste.",Thiang
"byrjup, a. sourish sweet taste.",Thiang
"jngap, a. honeysweet.",Thiang
"jlep, a. too sweet.",Thiang
shong.,mit thiah
"ang, v. to be asleep with the mouth open.",Thiah
"basa, v. to sleep for the night or as a lodger.",Thiah
"thiahbasuin,",basa
"kai, v . to",Thiah
"jingit,",Thiah
it,thiahjing
"sngi, v.",Thiah
"thdi, v. to oversleep",Thiah
thikni.,Thikna a regular certain exact Imit thikna
MLUH.THLONGSYING,THLONG
u jaw. . to buy,w thiecl
"baibat, v. to buy for ready money, to buy in cash.",Thied
"ei,",Thied
"khutia,",Thied
thied khu,khutia
"shah, v.",Thied
thied sham.,thied shah
"snam, , n. vein, artery.",Thied
constrictor.,A boa
thlait.,thlia
ka,thliew
"ka iing, phr. in every house",Thliew
"iing,",Thliew
u synrei.,Imit u thlong
"nar, w, n. an iron mortar.",Thlong
"mluhthlongsying, jphr. bitterly inimical implacable",Thlong
PEN,THOH
ka,m ka thma
"kaktien, ka, n. law suit.",Thma
"sabon, ka, n, a lather.",Thnam
"syiar, ka, n. the single horulike claw of a cock.",Thnat
shukor.,thok
iar.,thoh
"brain, ",Thoh
"bruin,",Thoh
"brew, ",Thoh
"khalainusip,",Thoh
"leng, a. having a white speck or a spot.",Thoh
"thoh leng, ad. with stains here and",Thoh lung
"thoh mat, a. having dirty spots here and",Thoh mut
"pan,",Thoh
"pen, j",Thoh
PUID,THOH
"thoin, ad. dearly, intensely love",Thoin
thom,as ngeiieitthom
handed manner.,Thorn V to tramjile to clear  to do in a high
"thor, ad. flutteringly, tremblingly,",Thor
thor ian very light.,thor
"thrait, ad. at once or",Thrait
thrait,la tiir thrait
ei ho ia kane,j ai
tep.to,hnit thuug
thung prah.,mit thung baji
shriew coloq.  to die.,Thung
"shut, u, n. a species of sedge, a rush.",Thung
"tasam, v. to swear solemnly. Wben",Thung
out dd or other piece,same thing he takes hold of any worn
place.,fire
thung takut.,tasam
"tang, v. to recount, to",Thuh
thuh thaw.,thuh tang
", ad. out issue of",Thui tdem
i tad ynda, as nga ioh
", ka, n. hard earth, clay.",Thuli dew
", iaid, ad.",Thuin ieng
", ad.",Thuit pluh
", ad, to have a",lait
"ding, ka, n, a tongue of fire, a flame.",Thylliej
", u, w. a Small fruit which a shrub growing on the",Thyllong soh
"bishar, v, to bring",Tian
ka tar.,tiar
"sdw,",tiar
"dieng, etc.",u tiar
"shitik, ad. incessantly, as, mynta ha kine",Tik
shttik,tik
"Bamon, ka, n. inoculation.",Tika
"duh, ka, n. the last finger.",ti
"upyrthat, kaba, n. a clap of thunder,",Tied
JAMIIANG,TIEW
"bali, ka n. a",tieh
"batur, ka,",tieh
"jr, , M. a bow consecrated to a malechild",tieh
", ad. sticky and soft like mud,",zZfJO jem
"tej,",Tej
tiy,i tiJ
", ad. like an elastic thread,",Tieiii jrong
"bania, ka, n. an incorrect way of speaking a foreign",tien
"biria, ka, n. jokes.",tien
birai.,Imit tien biria
"kai, ka, n. sham words, jokes.",tien
"ngiah ngiah, hi, n. words spoken in soft and highly polished",tien
"jalijaum, kl, n. soft sweet words,",tien
"lyngkut,",tien
"tharshiah, ki, n. words which give pain to",tien
"wohnia, ki, n. words spoken with a view to",tien
"klong,",tiew
knup,tiew
"dohraaw, u, n. a very small plant whose leaves are of a dark",Hiew
"eit, u, n. a flower of a fruit tree which does not",tisw
"jalyngksiang, u, n. the rhododendron.",tiew
"jamiiang, w, n the violet flower.",tiew
DUK,TIP
"japang, u, n. the bluebell.",tiew
"lapongndi, u, w, a",tiew
"lasir, w, n. a species of orchii.",tiew
"lasubon, ka, n. tlio tender leaf holding the flower of a cevtain",tiew
apple,pine
"myngngor syngun, , n. marigold.",tiew
"pathaikhubr, u, n. a flower, the sweet",tiew
"phkn, w, n. the dahlia",tiew
"riamskdin, m, n. the pitcher plant.",Hiew
"sngi, u n, the sunflower.",tiew
"shyllong,",tiew
side bears.,shrub growing by the river
"shlim, w, n, stramonium flower.",tiew
"sla, u n, a brass pot for cooking rice, same as khiewsh,",Tiew
"snohdieng,",tiew
"synteng, , m. Vanda cerulea orchid.",tiew
"thylliejtangmuri, m, n. blythia flower.",tiew
"tyrkhang, , n. a sweetsmelling fern.",tiew
"khun, v, to own a child as ones own.",Ting
mai.,tim
"kia, v. to call on the spirits as a Khasi",Tim
kniatimkhriam.,tim
"briew, v.",Tip
tip mrad.,tip briew
"kein, ph I do not know, I doubt.",Tip
"duk, V. to be industrious, to be",Tip
tip suk.,tipduk
EI,tlP
ei  phr. who knows ,Tip
"ma, conj. but, on the contrary.",Tip
"pdeng, ka, n. tlie middle finger.",Hi
"sngi, a.",Tip
behaved,well
tipnong.,Imii tipsngi
"tlmhtip dai, v. to recognise, to know.",Tip
" much, very",szzzV
"shitir, ad. again and again, line after",Tir
.hilir ban leit rong la ki pylleng ,ki mih ilr
lir.,kwah ban ialeh Hrshi
"thnatsyiar, u,",Tit
tree.,Tldi ka n a palm
tears.,millet and jobs
"khli, u, n. a kind of gronndcraeper",Tm lifi
"tree, stagmoss.",resemble that of a pine
"tmum,",TmiTin
tohjun.,tohmet
"toifi, ad. easily, without resistance come, as,  tang shu shim",Toin
tom.,na ka kti u shu wan tom
ka dkhuh.,Imit ka trai
"shnong, n. a native of a place",Trfii
shuonff,citizen Imit trai
", v. to wither, to die of trees and bamboos",Tram iap
proof frame used by the Khasis,Trip ka n a small circular rain
grass.,Traw w  sun
ktah treibeng.,Imit trei
"svar, u, n. a cavalry soldier same as tyllupswar,",Trup
"rymbai, ka,",tung
"tap, kay n, a small preserved fish.",tung
"t aga briew, v. to commit adultery.",Tuh
"tuin, ri. hesitatingly, with fear,",Tuin
"kitam, ki",Tum
"tuma, ad. in pieces to chop,",Tuma
tuma ia ka jain jong nga.,tuma
"iap, v. to rush desperately",Tur
"ab, n. a raven, a crow.",Tyng
"am, ka, n. the jawbone",Tyng
"amduh, ha, n. the wisdom tooth.",Tyng
sbai.,tTyngka ka n money rupee Imit tyngka
"sohthad, v. to preserve a thing carefully used",Tynskai
"tynkhap ka, n. a tick.",tyngkhip niang
"m.iw, ka, n. crevice of a rock.",Tyugkhap
"tyngkhap, sah, ad.",Tyngkliip
tijngkhapT,uba sah tyngkhip
", ka, n. a dao",Tyngkrong wait
tynnad tyngkdon.,as I khynnah iba i
"eh, ad. roughly, harshly, peverely,",Tyng
eh,leh tyng
"boand, as u shynreh u peit tyngheng",Tynghong ad agape spell
", ad. agape said of a small mouth.",Tynghong peit
"in, v. to flirt, to court.",Tyng
"ier, ka, n. a platform suspended j ast above the hearth",Tyng
"snwali, u, n. a rope in a plough by which",Tyllai
mraw,la ioh
tyllan.,mo Imit tylli
"tyllan, ad. exactly alike",Tylli
tfllan ia la u kpa.,tflli
ukro., u tymmen
ir.,aud euds are kept it is above ka tiny
", u,",Tympom nam
"lea,t",Tympew n n a betel leaf a pd
"tympha, u,",bah
plate.,n a wall
", ka, n. a tree resembling a papaya tree, the branches",la
"tynda, ad. perchance",Tyndi
ka,tyndong
", un. a lame demon who haunts",Tynjang suid
"hoit, kawhoit. If he",is said that as he walks he calls out kaw
"u tynddw,",u tynriew
bag for catching fish.,Tynsong ka n a small net
"a, u,n.",Tyr
"bas Beng.,", nol
grape u,oi
", ha, n. a bayleaf, tespdt.",la
", ad.",Tyraw iap
"um, ka, n. foam.",Tyrthup
"ut, ka,n. the demoness who brings about misfortune to a man,",Tyr
"utka smer,",Init ka tyr
SAW,UM
"uet,",TJei
ka,Urn ka n water juice ImiL ka um
um a brotherinlaw,contr oi kyn
"bah, a. having much water in a stream or river",Um
bahumsan.,ka n flood big stream Imit um
"biah, ka, n. saliva, spittle.",XJm
"koi, ka, n. a well where sacrifices and",Um
"jakar, ka,",TJm
"jah, ka, n, cold water. Imit. umjahumtngam.",Um
"jr, ka, n. dews.",XJm
"jung, ka, n. mine.",XJm
"mat, ka, n. tears. Imit. ka ummatummut,",TJm
matka,ka iim
"mluh, ka, n. saltspring, saltwater.",TJm
"pyrdng, ka, n. water in a well in which an oath, libation and",Um
"reit, long, a. lively and dark",TJm
"rieng, ka, n. fresh or pure water as distinguished",TJm
rmu,Um
"saw, ka n. a flood. Imit,",TJm
umsian.,umsaw
SHAR,UM
"shdr, ka, n, cold water",Um
"sliit, ka, n. hotwater",Um
"shitja, kat n. conjee.",Um
"snamia , v. to shed ones blood.",TJm
"syep, ka, n. sweat",TJm
"thet, ka, n. water with which hands have been washed.",TJm
"thlong, ka, n. water which gathers in a pothole of a stream,",Um
"thra, ka,",Um
iimj,um
", a. lukewarm, warm.",said
"reuno, p. someone, somebody.",Uno
"uno, p. whoever, any one.",Uno
hap.,sensation Imit ur
"met, ha, n. menstruation.",TJr
"urhap,",Urwir
"shiut, ad. slowly, hesitatingly",Ut
shiut naduh mynno ym lah dep shuh., ka jingkhreh ut
"tai, p. he there within sight.",TJtai
LAUWEI,UWEI
"lauwei, p. someone else.",TJwei
"udr, p. some other person.",TFwei
"wab,",Wah
", ad. flexibly, xliably,",jem
"Aveb,j",Web
ai.,ubajem f
thud.,Imit wad
"buit,",Wad
"dong,",Wad
"lad, v. to seek a means or an opportunity.",Wad
"nia,",Wiid
"phoi, v. to seek a quarrel.",Wad
stalk Colncasia antiquorumad. ajar,u or ka n a taro
"wang,  kylluid, ad. very loose",Wang
"weng,  kyildid wangwang ha ngaj",Weng
ka urn,ka wah
"bah, ka, n. a large river,",Wah
wahsan.,wahbah
"duit, ka, n. a rivulet, a streamlet.",Wah
wahrit.,ImiL wahduit
"wtii,",Wai
" ad. weakly, as,",tlot
wdi,wdi
witwit.,mit waiwai
"khdw,",wai
"dong,",wdi
nut a hhili Hindi.,u n rolled or prepared betel
SOHLAPER,WAl
"solilaper, w, n. the fniit of a small kind of palm.",Vai
"sohpari, w, n. dried areca nut.",wai
"bnoh, ka n. a da with a crooked head.",Wait
"khmnt, ka n. same as",Wait
bnoh. , wait
"lyngen, ka, n. a da with a convex edge.",Wait
"lyngiigun, ka,n. a straight heavy",Wait
"tyng krong, ka,",Wait
"um, u, n. areca nut preserved in water, in a well or vessel.",Vi
"wot, ad. finally,",Wai
kaiwaniaid.,Jmit wan
"doh, v. to be full in flesh,",Wan
"dm, v. to be in the proper shape, symmetrical,",Wan
wandar.,diir
"met, v. to become full in",Wan
wanphad. ,wanmet
"on, v. to accompany a person on his journey.",Wan
"rwing, v. to go to any place and return back the",Wan
"shaw,",Wan
"tan, v. to come to meet a person on the way.",Wan
"wuwanhdp,",Wan
u Riat., hnit u War
" times, as, shlwat once, arwa twice, etc.",wat suffix
"kynbat,",Wer
"wer, ad. as a rumour,",Wer
wer kumba ka,wer
"samrkhie, v. to smile.",Wiat
worm.,earth
", ad.",iaid
"daw, V. to seek a plea",Woh
woh,wohddw
"nia, v. to object, to criticise.",Woh
LEI,YM LEI
"lei, pkr, it will not fare ill, it will not go wrong",Ym lei
"nai, ad. no, not, I do not want it ",Yn
", kai n. a magic ring.",Yngkiiid sati
 PM,fi 
"m,",LD 
